player_name,team,pick,pid,pts,ast,stl,blk,treb,Ortg,drtg,year,ht,elevation (m),drafted
Nick Richards,Kentucky,42,51728,14.0323,0.2258,0.0968,2.129,7.7742000000000004,123.4,94.5497,2020,6.11,307,1
Quentin Grimes,Houston,25,65580,17.8333,1.9667,1.4,0.3,5.7,118.2,90.3659,2021,6.5,12,1
Khris Middleton,Texas A&M,39,12631,13.1579,2.1579,0.9474,0.2632,5.1053,96,96.8178,2012,6.7,30,1
Reggie Jackson,Boston College,24,6923,12.871,4.4839,0.6129,0.4516,5.6774,106.7,101.051,2010,6.3,47,1
Cameron Bairstow,New Mexico,49,19393,2.3667,0.2,0.1667,0.2,1.7667,107.7,100.176,2011,6.9,1577,1
Norman Powell,UCLA,46,22006,16.4167,2.0833,1.8333,0.4444,4.6944,104.9,98.9771,2015,6.4,115,1
Jeremy Lamb,Connecticut,12,18051,17.7353,1.7059,1.2353,0.6176,4.8824,115.4,101.528,2012,6.5,188,1
Justin Wright-Foreman,Hofstra,53,43169,1.3462,0.1154,0.1154,0.0769,0.3077,85.7,105.574,2016,6.0,24,1
Tyrese Haliburton,Iowa St.,12,65663,15.2273,6.4545,2.4545,0.6818,5.8636,120.1,99.913,2020,6.5,291,1
Jarrell Brantley,College of Charleston,50,40460,11.6,1.3,1.3,0.4667,7.3667,95.4,90.1713,2016,6.7,6,1
DeMarre Carroll,Missouri,27,2446,16.5526,2.1579,1.5526,0.6579,7.1842,118.8,89.7454,2009,6.8,228,1
Roy Devyn Marble,Iowa,56,18726,11.4857,3.6,1.5143,0.4,3.8,108,105.898,2012,6.6,219,1
Marquis Teague,Kentucky,29,22365,10.025,4.775,0.925,0.275,2.525,99.8,97.6421,2012,6.2,307,1
Iman Shumpert,Georgia Tech,17,7189,10.6452,4.9677,2.0645,0.1935,3.9032,90.4,95.5657,2009,6.5,283,1
Thomas Bryant,Indiana,42,40461,11.8571,0.9714,0.4857,0.9143,5.7714,125.7,99.4329,2016,6.10,235,1
Landry Fields,Stanford,39,1416,22,2.7812,1.5938,0.7812,8.75,110.3,97.9116,2010,6.7,27,1
Kenneth Faried,Morehead St.,22,1626,16.6364,0.5152,1.6061,1.9091,13.1515,108.9,83.9491,2010,6.8,304,1
Rakeem Christmas,Syracuse,36,23200,5.7941,0.6765,0.4706,1.9412,5.0588,125.7,95.2587,2014,6.9,116,1
Michael Gbinije,Syracuse,49,21893,3.4118,1.2059,0.7353,0.2059,1.7647,111.3,97.744,2014,6.7,116,1
C.J. McCollum,Lehigh,10,17390,19.1212,2.3939,1.303,0.2121,5,115.6,100.137,2010,6.3,283,1
Collin Sexton,Alabama,8,51365,19.1515,3.6061,0.8485,0.0909,3.7576,109.6,104.481,2018,6.3,67,1
Luke Babbitt,Nevada,16,6121,22.0303,2.1212,1,0.7879,8.8788,120.4,103.76,2010,6.9,1392,1
