player_name,team,pick,pid,pts,ast,stl,blk,treb,Ortg,drtg,year,ht,elevation (m),drafted,...16,...17
Davon Reed,Miami FL,32,31708,6.5758,1.1515,0.4848,0.1212,1.6667,91.4,104.748,2014,6.6,3,1,NA,NA
Sterling Brown,SMU,46,32989,4.3514,1.0811,0.7297,0.2973,3.7568,100.5,94.41,2014,6.6,177,1,NA,NA
Pat Connaughton,Notre Dame,41,19805,12.5,1.5,0.7105,0.9474,7.4211,120.4,100.175,2015,6.5,224,1,NA,NA
Montrezl Harrell,Louisville,32,26468,15.6857,1.4,0.9429,1.2,9.1714,113.7,89.4932,2015,6.8,139,1,NA,NA
Caris LeVert,Michigan,20,26551,14.9444,3.7222,1.7778,0.3889,4.8889,101.1,98.751,2015,6.7,268,1,NA,NA
Justin Anderson,Virginia,21,28488,12.1923,1.7308,0.6538,0.5385,4.0385,120.5,88.5752,2015,6.6,201,1,NA,NA
Bobby Portis,Arkansas,22,29460,17.4722,1.1667,1.0833,1.3889,8.9167,118.9,95.8038,2015,6.1,437,1,NA,NA
Sindarius Thornwell,South Carolina,48,29814,11.1212,2.2121,1.303,0.3333,4.8788,93.8,95.3842,2015,6.5,95,1,NA,NA
Nigel Williams-Goss,Washington,55,33186,15.6,5.9,1.1,0.1667,4.7,103.5,105.075,2015,6.4,29,1,NA,NA
Domantas Sabonis,Gonzaga,11,33822,9.7105,0.8684,0.4474,0.3158,7.0263,118.4,90.7303,2015,6.1,582,1,NA,NA
Kelly Oubre,Kansas,15,34389,9.25,0.7778,1.1389,0.3611,4.9722,108.7,91.621,2015,6.7,310,1,NA,NA
Chinanu Onuaku,Louisville,37,35483,2.9714,0.5429,0.7429,1.2,4.5714,96.5,86.6733,2015,6.1,139,1,NA,NA
Daniel Hamilton,Connecticut,56,35659,10.8571,3.6571,0.9429,0.3714,7.6286,96.1,91.7819,2015,6.7,188,1,NA,NA
Karl-Anthony Towns,Kentucky,1,35836,10.2821,1.1282,0.4615,2.2564,6.6923,122.7,77.2779,2015,6.11,307,1,NA,NA
Kevon Looney,UCLA,30,36883,11.5556,1.4167,1.2778,0.8889,9.1944,113,96.2307,2015,6.9,115,1,NA,NA
Thomas Welsh,UCLA,58,36884,3.8333,0.2222,0.3889,1.0833,3.8056,104.8,97.7006,2015,7,115,1,NA,NA
Justin Jackson,North Carolina,15,36922,10.7368,2.3158,0.5263,0.5,3.6579,114,103.534,2015,6.8,134,1,NA,NA
Patrick McCaw,UNLV,38,37216,9.5938,2.6875,1.5,0.3125,3.25,103.4,100.476,2015,6.6,620,1,NA,NA
Jordan Bell,Oregon,38,38340,5.0571,1.3429,0.8,2.6857,6.1143,113.5,95.9854,2015,6.9,136,1,NA,NA
