ID,State,City,Lat,Long
445,Alabama,Fultondale,33.611283,-86.813614
446,Alabama,Furman,32.006667,-86.966944
447,Alabama,Fyffe,34.437284,-85.928849
448,Alabama,Gadsden,33.997248,-86.010279
449,Alabama,Gainestown,31.425822,-87.682176
450,Alabama,Gainesville,32.908364,-88.271558
451,Alabama,Gallant,33.997586,-86.234606
452,Alabama,Gallion,32.529771,-87.698542
453,Alabama,Gantt,31.416909,-86.419836
454,Alabama,Garden City,34.014444,-86.746944
455,Alabama,Gardendale,33.71891,-86.822481
456,Alabama,Gaylesville,34.357324,-85.558893
457,Alabama,Geneva,31.041445,-85.884748
458,Alabama,Georgiana,31.628662,-86.733965
459,Alabama,Geraldine,34.343864,-86.040393
460,Alabama,Gilbertown,31.866602,-88.326514
461,Alabama,Glen Allen,33.899444,-87.730278
462,Alabama,Glenwood,31.664143,-86.170972
463,Alabama,Goodsprings,33.668889,-87.231667
464,Alabama,Goodwater,33.074642,-86.078149
465,Alabama,Goodway,31.336667,-87.425833
466,Alabama,Gordo,33.346917,-87.900504
467,Alabama,Gordon,31.10019,-85.123412
468,Alabama,Goshen,31.82497,-86.104851
469,Alabama,Grady,32.019397,-86.129246
470,Alabama,Graham,33.462976,-85.334034
471,Alabama,Grand Bay,30.498288,-88.32825
472,Alabama,Grant,34.495902,-86.259041
473,Alabama,Graysville,33.63356,-86.948221
474,Alabama,Green Pond,33.225,-87.126389
475,Alabama,Greensboro,32.716721,-87.590494
476,Alabama,Greenville,31.810036,-86.622919
477,Alabama,Grove Hill,31.675502,-87.763571
478,Alabama,Groveoak,34.435874,-86.040023
479,Alabama,Guin,33.967624,-87.90238
480,Alabama,Gulf Shores,30.268954,-87.712795
481,Alabama,Guntersville,34.32193,-86.305463
482,Alabama,Gurley,34.713964,-86.394028
483,Alabama,Hackleburg,34.267803,-87.860762
484,Alabama,Haleyville,34.231423,-87.593811
485,Alabama,Hamilton,34.153413,-88.008521
486,Alabama,Hanceville,34.051569,-86.784844
487,Alabama,Hardaway,32.312939,-85.883837
488,Alabama,Harpersville,33.36746,-86.429441
489,Alabama,Hartford,31.08598,-85.719204
490,Alabama,Hartselle,34.448206,-86.924235
491,Alabama,Harvest,34.82732,-86.749929
492,Alabama,Hatchechubbee,32.284531,-85.302882
493,Alabama,Hayden,33.885806,-86.81767
494,Alabama,Hayneville,32.195707,-86.654994
495,Alabama,Hazel Green,34.949627,-86.593484
496,Alabama,Headland,31.353406,-85.332277
497,Alabama,Heflin,33.611515,-85.588471
498,Alabama,Helena,33.316978,-86.813786
499,Alabama,Henagar,34.618604,-85.727381
500,Alabama,Higdon,34.873247,-85.622507
501,Alabama,Highland Home,31.928292,-86.297111
502,Alabama,Hillsboro,34.64763,-87.180379
503,Alabama,Hodges,34.341664,-87.959023
504,Alabama,Hollins,33.1175,-86.144444
505,Alabama,Holly Pond,34.190085,-86.617441
506,Alabama,Hollytree,34.798979,-86.233627
507,Alabama,Hollywood,34.730428,-85.953173
